config,img_url,model,price_high,price_low
GU603ZV-N4013W,https://s.ek.ua/jpg/2388927.jpg,Asus ROG Zephyrus G16,99501,75499
82JH0055PB,https://s.ek.ua/jpg/2058449.jpg,Lenovo Legion 5 15ITH6H,75999,40639
82JH00BDPB,https://s.ek.ua/jpg/2058449.jpg,Lenovo Legion 5 15ITH6H,75999,40639
82JH00BHPB,https://s.ek.ua/jpg/2058449.jpg,Lenovo Legion 5 15ITH6H,75999,40639
82JH0057PB,https://s.ek.ua/jpg/2058449.jpg,Lenovo Legion 5 15ITH6H,75999,40639
82JH008GUS,https://s.ek.ua/jpg/2058449.jpg,Lenovo Legion 5 15ITH6H,75999,40639
FA506QM-HN008,https://s.ek.ua/jpg/1967024.jpg,Asus TUF Gaming A15 FA506QM,60524,40199
FA506QM-HN008W,https://s.ek.ua/jpg/1967024.jpg,Asus TUF Gaming A15 FA506QM,60524,40199
FA506QM-HN008T,https://s.ek.ua/jpg/1967024.jpg,Asus TUF Gaming A15 FA506QM,60524,40199
FA506QM-HN016T,https://s.ek.ua/jpg/1967024.jpg,Asus TUF Gaming A15 FA506QM,60524,40199
FA506QM-HN016,https://s.ek.ua/jpg/1967024.jpg,Asus TUF Gaming A15 FA506QM,60524,40199
15-FA0031DX,https://s.ek.ua/jpg/2269722.jpg,HP Victus 15-fa0000,58400,28299
15-FA0185NW,https://s.ek.ua/jpg/2269722.jpg,HP Victus 15-fa0000,58400,28299
15-FA0124NW,https://s.ek.ua/jpg/2269722.jpg,HP Victus 15-fa0000,58400,28299
15-FA0122NW,https://s.ek.ua/jpg/2269722.jpg,HP Victus 15-fa0000,58400,28299
15-FA0135NW,https://s.ek.ua/jpg/2269722.jpg,HP Victus 15-fa0000,58400,28299
