date,title,url
20 січня,«Горизонт Європа»: про можливості Програми ЄС для науковців йшла мова в УжНУ,/uk/news/gorizont-pro-mozhlivosti-programi-dlya-naukovtsiv-jshla-mova.htm
24 March,Coffee with the Dean / Coffee with a Student: Top 5 Reasons to Join the Faculty of Geography,/en/news/Coffee-with-the-Dean-Coffee-with-Student-the-Faculty-of-Geography.htm
9 березня,Що таке ChatGPT. Застосування у роботі лікаря,/uk/news/chatgptlikar.htm
13 березня,ГОСТЬОВА ОНЛАЙН ЛЕКЦІЯ «ПРАКТИЧНІ АСПЕКТИ ДІЯЛЬНОСТІ ТУРИСТИЧНИХ ЛОКАЦІЙ»,/uk/news/image.htm
11 січня,IХ Українська наукова конференція з фізики напівпровідників (УНКФН-9),/uk/news/Ih-ukrajinska-naukova-konferentsiya-z-fiziki-napivprovidnikiv.htm
13 грудня,"Форум, який перевершив усі сподівання: науковці УжНУ взяли участь у міжнародному науковому симпозіумі в Румунії",/uk/news/forum-yakij-perevershiv-usi-spodivannya.htm
24 жовтня,Професору Євгену Юлійовичу Перешу – 80 років!,/uk/news/91.htm
4 March,"Ivan Kalynych: ""There’s shortage of the Faculty of Geography graduates on the labour market""",/en/news/Ivan-Kalynych-Theres-shortage-of-the-Faculty-of-Geography.htm
17 January,Geneticists from UzhNU solved the mystery of the origin of horses brought to the Caribbean by conquistadors,/en/news/Geneticists-from-UzhNU-solved-the-mystery-of-the-origin-of-horses.htm
17 April,Quarantine is not an obstacle: students of the Faculty of Economics about their first impressions of studying in Croatia,/en/news/Quarantine-is-not-an-obstacle-students-of-the-Faculty-of-Economic.htm
6 березня,КІНОТУРИЗМ … ФІЛЬМ «СНАЙПЕР. БІЛИЙ ВОРОН»,/uk/news/1jpg.htm
17 листопада,"Відійшла у вічністьдоктор фізико-математичних наук, професор
Лауреат, Державної премії України у галузі науки і техніки, Заслужений професор УжНУ, Дарія Михайлівна Берча",/uk/news/vidijshla-u-vichnistdoktor-fiziko-matematichnih-nauk-profesorlaur.htm
7 грудня,"Студенти філологічного факультету УжНУ привітали захисників та захисниць України, виконавши пісні з репертуару воїнів УПА",/uk/news/studenti-privitali-zahisnikiv-ta-zahisnits-ukrajini-.htm
24 жовтня,"Засновнику Закарпатської наукової школи неорганічного матеріалознавства 
Євгену Юлійовичу Перешу – 80 років",/uk/news/Yevgenu-yulijovichu-pereshu-80-rokiv.htm
24 January,UzhNU authorities conducted a meeting with the team of the Faculty of Geography,/en/news/UzhNU-authorities-meeting-with-the-team-of-Faculty-of-Geography.htm
16 December,Ludmyla Simochko represented Uzhhorod National University as a keynote speaker at the International Congress in Turkey,/en/news/Ludmyla-Simochko-represented-Uzhhorod-National-University.htm
4 February,Coffee with the dean / Coffee with a student: Top 5 reasons to enter the Faculty of Economics,/en/news/Coffee-with-the-dean-Coffee-with-a-student-Faculty-of-Economics.htm
22 September,UzhNU hosted a two-day workshop on the first aid for psychological traumas held by the scientists from the USA,/en/news/UzhNU-hosted-a-two-day-workshop-on-the-first-aid-for-psychologica.htm
2 August,GeoSES (HUSKROUA) project: representatives of the Polish company presented new equipment to engineering students,/en/news/GeoSES-HUSKROUA-project-representatives-of-the-Polish-company.htm
14 May,Science Day at UzhNU - we celebrate our achievements,/en/news/Science-Day-at-UzhNU---we-celebrate-our-achievements.htm
3 жовтня,Кафедра військової підготовки УжНУ проводить додаткову вступну сесію,/uk/news/kafedra-vijskovoji-pidgotovki-uzhnu-provodit-dodatkovu-vstupnu-se.htm
31 жовтня,Міжнародний міждисциплінарний семінар «Покращення стійкості навколишнього середовища: досвід УжНУ»,/uk/news/seminar-pokrashchennya-stijkosti-navkolishnogo-seredovishcha-dosv.htm
5 жовтня,Хімія … партнерства. Три історії стажування в Європі науковиць УжНУ,/uk/news/himiya-partnerstva-tri-istoriji-stazhuvannya-v-Yevropi-naukovits.htm
13 January,"New study of the genome of Ukrainians, carried out by scientists of Uzhhorod National University, supplemented the knowledge about the diversity of the world's population",/en/news/New-study-of-the-genome-of-Ukrainians-carried-out-by-scientists.htm
18 December,"Richard Beaumont, international level financial analyst, met with UzhNU students",/en/news/Richard-Beaumont-international-level-financial-analyst.htm
2 June,Reasons to choose studies at the Faculty of Health and Physical Education of UzhNU,/en/news/Reasons-to-choose-studies-at-the-Faculty-of-Health-and-Physical.htm
1 December,"Energy audit of UzhNU buildings as part of the project ""Cross-Border Cooperation Smart Energy"" started",/en/news/Energy-audit-of-UzhNU-buildings-as-part-of-the-project-Cross.htm
28 February,The 5th International Dental Conference was held in Uzhhorod,/en/news/The-5th-International-Dental-Conference-was-held-in-Uzhhorod.htm
18 December,3D anatomage table for the Faculty of Medicine of UzhNU,/en/news/3D-anatomage-table-for-the-Faculty-of-Medicine-of-UzhNU.htm
3 жовтня,Кафедра військової підготовки УжНУ проводить додаткову вступну сесію,/uk/news/kafedra-vijskovoji-pidgotovki-uzhnu-provodit-dodatkovu-vstupnu-se.htm
28 October,Golden autumn in the vineyard of Uzhhorod National University (video),/en/news/Golden-autumn-in-the-vineyard-of-Uzhhorod-National-University.htm
28 November,The Faculty of Economics of UzhNU celebrated its 56th anniversary,/en/news/The-Faculty-of-Economics-of-UzhNU-celebrated-its-56th-anniversary.htm
18 February,Coffee with the dean / coffee with a student: top 5 reasons to enter the Faculty of International Economic Relations,/en/news/top-5reasons-to-enter-Faculty-of-International-Economic-Relations.htm
18 November,"UzhNU joined the project ""Academic Integrity and Quality Initiative""",/en/news/UzhNU-joined-the-project-Academic-Integrity-and-Quality-Initiativ.htm
2 February,Students of the Faculty of Health and Physical Education will practice in one of the best rehabilitation centers of Slovakia,/en/news/Students-of-the-Faculty-of-Health-and-Physical-Education.htm
1 October,"Representatives of the project ""Cross-Border Cooperation Smart Energy"" met with students of the Faculty of Engineering",/en/news/Representatives-of-the-project-Cross-Border-Cooperation-Smart.htm
1 November,Assistant of the Department of Prosthetic Dentistry of UzhNU gained victory at the Young Scientists Symposium,/en/news/Assistant-of-the-Department-of-Prosthetic-Dentistry-of-UzhNU.htm
13 January,"New study of the genome of Ukrainians, carried out by scientists of Uzhhorod National University, supplemented the knowledge about the diversity of the world's population",/en/news/New-study-of-the-genome-of-Ukrainians-carried-out-by-scientists.htm
17 March,Coffee with the Dean / Coffee with a Student: Top 5 Reasons to Join the Faculty of Biology,/en/news/Coffee-with-the-Dean-Coffee-with-a-Student-Faculty-of-Biology.htm
27 September,The first Transcarpahian Economic Forum was held at UzhNU,/en/news/The-first-Transcarpahian-Economic-Forum-was-held-at-UzhNU.htm
21 November,Large-scale debate tournament “The Role of Historical Memory in Political Discourse” was held at UzhNU,/en/news/Large-scale-debate-tournament-The-Role-of-Historical-Memory.htm
3 March,Coffee wih the Dean / Coffee with a Student: Top 5 Reasons to Join the Faculty of Mathematics,/en/news/Top-5-Reasons-to-Join-the-Faculty-of-Mathematics.htm
5 November,UzhNU signed cooperation agreement with the Slovak Medical Rehabilitation Center,/en/news/UzhNU-signed-cooperation-agreement-with-the-Slovak-Medical.htm
2 June,Coffee with the dean / coffee with a student: top 5 reasons to enter the Faculty of Engineering,/en/news/top-5-reasons-to-enter-the-Faculty-of-Engineering.htm
31 October,From now on our dentists can also treat children under general anesthesia,/en/news/From-now-on-our-dentists-can-also-treat-children-under-general.htm
23 April,Medical Faculty students join the fight against COVID-19 pandemic,/en/news/Medical-Faculty-students-join-the-fight-against-COVID-19-pandemic.htm
2 February,"Mgr. Michal Cirner, PhD (Slovakia) gave an open lecture on international cooperation of Presov Self-Governing Region",/en/news/Mgr-Michal-Cirner-PhD-Slovakia-gave-an-open-lecture.htm
1 December,Scholars of UzhNU and University of Central Lancashire discussed culture as a component of war,/en/news/Scholars-of-UzhNU-and-University-of-Central-Lancashire-discussed.htm
14 June,German partners of UzhNU visited the Faculty of International Economic Relations,/en/news/German-partners-of-UzhNU-visited-the-Faculty-of-International.htm
24 January,UzhNU is one of the best universities in Ukraine according to MEU,/en/news/UzhNU-is-one-of-the-best-universities-in-Ukraine-according-to-MEU.htm
17 February,Scientists of UzhNU took part in a conference on the development of public health protection program,/en/news/Scientists-of-UzhNU-a-conference-on-development-of-public-health.htm
